config,test_accuracy,test_f1
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=200,0.7775,0.7744
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=100,0.7821,0.7738
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=200,0.7833,0.7737
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=150,0.7569,0.773
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=200,0.7271,0.7729
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=200,0.7856,0.7728
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=100,0.7775,0.7723
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=150,0.789,0.7723
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=200,0.7856,0.7722
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=150,0.7706,0.7722
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=100,0.7752,0.7721
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=100,0.7787,0.7721
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=100,0.7603,0.7721
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=200,0.7798,0.7714
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=150,0.7557,0.7712
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=100,0.7787,0.7711
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=200,0.7615,0.7709
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=200,0.7706,0.7706
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=150,0.758,0.7699
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=200,0.7729,0.7692
